   1.080    0.5647E-01    0.4991E-01    0.5825E-01   -0.1774E+01    0.6646E+00    0.6147E+00   -0.5740E-01   -0.4906E-01
   1.100    0.5591E-01    0.4965E-01    0.5768E-01   -0.1742E+01    0.6578E+00    0.6082E+00   -0.5594E-01   -0.4792E-01
   1.120    0.5532E-01    0.4937E-01    0.5706E-01   -0.1710E+01    0.6511E+00    0.6017E+00   -0.5454E-01   -0.4685E-01
   1.140    0.5473E-01    0.4909E-01    0.5644E-01   -0.1679E+01    0.6443E+00    0.5953E+00   -0.5319E-01   -0.4584E-01
   1.160    0.5413E-01    0.4879E-01    0.5580E-01   -0.1649E+01    0.6377E+00    0.5889E+00   -0.5189E-01   -0.4487E-01
   1.180    0.5352E-01    0.4847E-01    0.5516E-01   -0.1620E+01    0.6310E+00    0.5825E+00   -0.5063E-01   -0.4395E-01
   1.200    0.5290E-01    0.4814E-01    0.5450E-01   -0.1592E+01    0.6244E+00    0.5762E+00   -0.4943E-01   -0.4307E-01
   1.220    0.5228E-01    0.4781E-01    0.5385E-01   -0.1564E+01    0.6178E+00    0.5700E+00   -0.4826E-01   -0.4221E-01
   1.240    0.5166E-01    0.4746E-01    0.5320E-01   -0.1538E+01    0.6112E+00    0.5638E+00   -0.4712E-01   -0.4138E-01
   1.260    0.5104E-01    0.4710E-01    0.5254E-01   -0.1511E+01    0.6047E+00    0.5576E+00   -0.4601E-01   -0.4058E-01
   1.280    0.5042E-01    0.4674E-01    0.5188E-01   -0.1486E+01    0.5983E+00    0.5515E+00   -0.4494E-01   -0.3980E-01
   1.300    0.4980E-01    0.4637E-01    0.5124E-01   -0.1461E+01    0.5918E+00    0.5454E+00   -0.4390E-01   -0.3902E-01
   1.320    0.4918E-01    0.4599E-01    0.5059E-01   -0.1437E+01    0.5854E+00    0.5394E+00   -0.4288E-01   -0.3827E-01
   1.340    0.4856E-01    0.4560E-01    0.4994E-01   -0.1413E+01    0.5790E+00    0.5334E+00   -0.4189E-01   -0.3754E-01
   1.360    0.4795E-01    0.4521E-01    0.4930E-01   -0.1390E+01    0.5727E+00    0.5275E+00   -0.4092E-01   -0.3682E-01
   1.380    0.4734E-01    0.4481E-01    0.4867E-01   -0.1367E+01    0.5664E+00    0.5216E+00   -0.3997E-01   -0.3611E-01
   1.400    0.4674E-01    0.4441E-01    0.4804E-01   -0.1345E+01    0.5601E+00    0.5157E+00   -0.3904E-01   -0.3542E-01
   1.420    0.4613E-01    0.4401E-01    0.4741E-01   -0.1323E+01    0.5539E+00    0.5099E+00   -0.3813E-01   -0.3473E-01
   1.440    0.4558E-01    0.4360E-01    0.4686E-01   -0.1302E+01    0.5477E+00    0.5041E+00   -0.3724E-01   -0.3399E-01
