   1.700  -0.769E-02   0.191E-03   0.530E-03   0.514E-03   0.383E-02   0.404E-02  -0.513E-04
   1.720  -0.762E-02   0.192E-03   0.529E-03   0.513E-03   0.380E-02   0.401E-02  -0.518E-04
   1.740  -0.755E-02   0.192E-03   0.527E-03   0.512E-03   0.376E-02   0.398E-02  -0.523E-04
   1.760  -0.748E-02   0.193E-03   0.526E-03   0.511E-03   0.373E-02   0.395E-02  -0.527E-04
   1.780  -0.742E-02   0.193E-03   0.524E-03   0.510E-03   0.369E-02   0.391E-02  -0.532E-04
   1.800  -0.735E-02   0.194E-03   0.522E-03   0.508E-03   0.366E-02   0.388E-02  -0.536E-04
   1.820  -0.729E-02   0.194E-03   0.521E-03   0.507E-03   0.362E-02   0.385E-02  -0.541E-04
   1.840  -0.722E-02   0.194E-03   0.519E-03   0.506E-03   0.359E-02   0.382E-02  -0.545E-04
   1.860  -0.716E-02   0.195E-03   0.517E-03   0.504E-03   0.356E-02   0.379E-02  -0.550E-04
   1.880  -0.710E-02   0.195E-03   0.515E-03   0.503E-03   0.353E-02   0.376E-02  -0.555E-04
   1.900  -0.704E-02   0.195E-03   0.513E-03   0.502E-03   0.350E-02   0.373E-02  -0.561E-04
   1.920  -0.698E-02   0.196E-03   0.511E-03   0.500E-03   0.346E-02   0.370E-02  -0.565E-04
   1.940  -0.692E-02   0.196E-03   0.509E-03   0.499E-03   0.343E-02   0.368E-02  -0.570E-04
   1.960  -0.686E-02   0.196E-03   0.507E-03   0.497E-03   0.340E-02   0.365E-02  -0.576E-04
   1.980  -0.680E-02   0.196E-03   0.505E-03   0.496E-03   0.337E-02   0.362E-02  -0.582E-04
   2.000  -0.674E-02   0.196E-03   0.503E-03   0.494E-03   0.334E-02   0.359E-02  -0.587E-04
   2.020  -0.668E-02   0.196E-03   0.501E-03   0.492E-03   0.331E-02   0.357E-02  -0.593E-04
   2.040  -0.663E-02   0.196E-03   0.498E-03   0.491E-03   0.328E-02   0.354E-02  -0.599E-04
   2.060  -0.657E-02   0.196E-03   0.496E-03   0.489E-03   0.325E-02   0.351E-02  -0.605E-04
   2.080  -0.652E-02   0.196E-03   0.494E-03   0.487E-03   0.322E-02   0.349E-02  -0.611E-04
   2.100  -0.646E-02   0.196E-03   0.492E-03   0.486E-03   0.320E-02   0.346E-02  -0.617E-04
   2.120  -0.641E-02   0.196E-03   0.489E-03   0.484E-03   0.317E-02   0.344E-02  -0.624E-04
   2.140  -0.636E-02   0.196E-03   0.487E-03   0.482E-03   0.314E-02   0.341E-02  -0.629E-04
   2.160  -0.630E-02   0.196E-03   0.485E-03   0.480E-03   0.311E-02   0.338E-02  -0.636E-04
   2.180  -0.625E-02   0.196E-03   0.482E-03   0.479E-03   0.309E-02   0.336E-02  -0.643E-04
   2.200  -0.620E-02   0.196E-03   0.480E-03   0.477E-03   0.306E-02   0.334E-02  -0.649E-04
   2.220  -0.615E-02   0.195E-03   0.478E-03   0.475E-03   0.303E-02   0.331E-02  -0.656E-04
   2.240  -0.610E-02   0.195E-03   0.475E-03   0.473E-03   0.301E-02   0.329E-02  -0.663E-04
   2.260  -0.605E-02   0.195E-03   0.473E-03   0.471E-03   0.298E-02   0.326E-02  -0.670E-04
   2.280  -0.601E-02   0.195E-03   0.470E-03   0.470E-03   0.296E-02   0.324E-02  -0.677E-04
   2.300  -0.596E-02   0.194E-03   0.468E-03   0.468E-03   0.293E-02   0.322E-02  -0.684E-04
   2.320  -0.591E-02   0.194E-03   0.465E-03   0.466E-03   0.290E-02   0.320E-02  -0.691E-04
   2.340  -0.586E-02   0.194E-03   0.463E-03   0.464E-03   0.288E-02   0.317E-02  -0.699E-04
   2.360  -0.582E-02   0.193E-03   0.460E-03   0.462E-03   0.286E-02   0.315E-02  -0.706E-04
